excel_codigo,excel_nome,excel_endereco,excel_cidade,db,db_id,db_numero,db_nome,db_endereco,db_cidade,score,matched
189,RELOJOARIA E OPTICA TISSIANI,"AV  PLINIO ARLINDO DE NES, 989 ",XAXIM,WMS_Server\wms_database.mdb,97,189,RELOJOARIA E OPTICA TISSIANI,"AV  PLINIO ARLINDO DE NES, 989",XAXIM,1.0,True
190,OTICA COELHO ,"RUA JOSE BOITEUX, 142 SALA 01",CACADOR,WMS_BD\wms_database_test.mdb,981,,OTICA COELHO,"RUA JOSE BOITEUX, 142 SALA 01",CACADOR,1.0,True
190,OTICA COELHO ,"RUA JOSE BOITEUX, 142 SALA 01",CACADOR,WMS_BD\wms_database.mdb,466,,OTICA COELHO,"RUA JOSE BOITEUX, 142 SALA 01",CACADOR,1.0,True
190,OTICA COELHO ,"RUA JOSE BOITEUX, 142 SALA 01",CACADOR,WMS_Server\wms_database.mdb,457,,OTICA COELHO,"RUA JOSE BOITEUX, 142 SALA 01",CACADOR,1.0,True
191,RELOJOARIA E OTICA QUARTZ - JUAREZ ,"AV  CORONEL ERNESTO FRANCISCO BERT, 831 ",QUILOMBO,WMS_BD\wms_database_test.mdb,982,191,RELOJOARIA E OTICA QUARTZ - JUAREZ,"AV  CORONEL ERNESTO FRANCISCO BERT, 831",QUILOMBO,1.0,True
191,RELOJOARIA E OTICA QUARTZ - JUAREZ ,"AV  CORONEL ERNESTO FRANCISCO BERT, 831 ",QUILOMBO,WMS_BD\wms_database.mdb,103,191,RELOJOARIA E OTICA QUARTZ - JUAREZ,"AV  CORONEL ERNESTO FRANCISCO BERT, 831",QUILOMBO,1.0,True
191,RELOJOARIA E OTICA QUARTZ - JUAREZ ,"AV  CORONEL ERNESTO FRANCISCO BERT, 831 ",QUILOMBO,WMS_Server\wms_database.mdb,98,191,RELOJOARIA E OTICA QUARTZ - JUAREZ,"AV  CORONEL ERNESTO FRANCISCO BERT, 831",QUILOMBO,1.0,True
192,VIZZANI OTICA JOIAS E RELOGIOS,"AV  MANOEL MENDES DE CAMARGO, 940 ",CAMPO MOURAO,WMS_BD\wms_database_test.mdb,140,192,VIZZANI OTICA JOIAS E RELOGIOS,"AV  MANOEL MENDES DE CAMARGO, 940",CAMPO MOURAO,1.0,True
192,VIZZANI OTICA JOIAS E RELOGIOS,"AV  MANOEL MENDES DE CAMARGO, 940 ",CAMPO MOURAO,WMS_BD\wms_database.mdb,104,192,VIZZANI OTICA JOIAS E RELOGIOS,"AV  MANOEL MENDES DE CAMARGO, 940",CAMPO MOURAO,1.0,True
192,VIZZANI OTICA JOIAS E RELOGIOS,"AV  MANOEL MENDES DE CAMARGO, 940 ",CAMPO MOURAO,WMS_Server\wms_database.mdb,99,192,VIZZANI OTICA JOIAS E RELOGIOS,"AV  MANOEL MENDES DE CAMARGO, 940",CAMPO MOURAO,1.0,True
194,OPTICA E RELOJOARIA PAZINI - SAO ,"RUA CORONEL BERTASO, 1081 ",SAO LOURENCO DO ,WMS_BD\wms_database_test.mdb,983,194,OPTICA E RELOJOARIA PAZINI - SAO,"RUA CORONEL BERTASO, 1081",SAO LOURENCO DO,1.0,True
194,OPTICA E RELOJOARIA PAZINI - SAO ,"RUA CORONEL BERTASO, 1081 ",SAO LOURENCO DO ,WMS_BD\wms_database.mdb,105,194,OPTICA E RELOJOARIA PAZINI - SAO,"RUA CORONEL BERTASO, 1081",SAO LOURENCO DO,1.0,True
194,OPTICA E RELOJOARIA PAZINI - SAO ,"RUA CORONEL BERTASO, 1081 ",SAO LOURENCO DO ,WMS_Server\wms_database.mdb,100,194,OPTICA E RELOJOARIA PAZINI - SAO,"RUA CORONEL BERTASO, 1081",SAO LOURENCO DO,1.0,True
195,OTICA VISAO EXATA,"AV  PRESIDENTE KENNEDY, 1170 ",PALOTINA,WMS_BD\wms_database_test.mdb,984,,OTICA VISAO EXATA,"AV  PRESIDENTE KENNEDY, 1170",PALOTINA,1.0,True
195,OTICA VISAO EXATA,"AV  PRESIDENTE KENNEDY, 1170 ",PALOTINA,WMS_BD\wms_database.mdb,467,,OTICA VISAO EXATA,"AV  PRESIDENTE KENNEDY, 1170",PALOTINA,1.0,True
195,OTICA VISAO EXATA,"AV  PRESIDENTE KENNEDY, 1170 ",PALOTINA,WMS_Server\wms_database.mdb,458,,OTICA VISAO EXATA,"AV  PRESIDENTE KENNEDY, 1170",PALOTINA,1.0,True
197,RELOJOARIA E OTICA BELINI,"RUA BRUNO ZUTTION, 3301 SALA",REALEZA,WMS_BD\wms_database_test.mdb,143,197,RELOJOARIA E OTICA BELINI,"RUA BRUNO ZUTTION, 3301 SALA",REALEZA,1.0,True
197,RELOJOARIA E OTICA BELINI,"RUA BRUNO ZUTTION, 3301 SALA",REALEZA,WMS_BD\wms_database.mdb,106,197,RELOJOARIA E OTICA BELINI,"RUA BRUNO ZUTTION, 3301 SALA",REALEZA,1.0,True
197,RELOJOARIA E OTICA BELINI,"RUA BRUNO ZUTTION, 3301 SALA",REALEZA,WMS_Server\wms_database.mdb,101,197,RELOJOARIA E OTICA BELINI,"RUA BRUNO ZUTTION, 3301 SALA",REALEZA,1.0,True
198,OTICA E RELOJOARIA ORIENT - H A ,"AV  IGUACU, 384 SALA 01",MANGUEIRINHA,WMS_BD\wms_database_test.mdb,985,37,OTICA E RELOJOARIA ORIENT - H A,"AV  IGUACU, 384 SALA 01",MANGUEIRINHA,1.0,True
198,OTICA E RELOJOARIA ORIENT - H A ,"AV  IGUACU, 384 SALA 01",MANGUEIRINHA,WMS_BD\wms_database.mdb,107,198,OTICA E RELOJOARIA ORIENT - H A,"AV  IGUACU, 384 SALA 01",MANGUEIRINHA,1.0,True
198,OTICA E RELOJOARIA ORIENT - H A ,"AV  IGUACU, 384 SALA 01",MANGUEIRINHA,WMS_Server\wms_database.mdb,102,198,OTICA E RELOJOARIA ORIENT - H A,"AV  IGUACU, 384 SALA 01",MANGUEIRINHA,1.0,True
199,RELOJOARIA SAFIRA - FERRARI & ,"AV  JOAO PESSOA, 928 SALA 01",GUARUJA DO SUL,WMS_BD\wms_database_test.mdb,986,,RELOJOARIA SAFIRA - FERRARI &,"AV  JOAO PESSOA, 928 SALA 01",GUARUJA DO SUL,1.0,True
199,RELOJOARIA SAFIRA - FERRARI & ,"AV  JOAO PESSOA, 928 SALA 01",GUARUJA DO SUL,WMS_BD\wms_database.mdb,108,199,RELOJOARIA SAFIRA - FERRARI &,"AV  JOAO PESSOA, 928 SALA 01",GUARUJA DO SUL,1.0,True
199,RELOJOARIA SAFIRA - FERRARI & ,"AV  JOAO PESSOA, 928 SALA 01",GUARUJA DO SUL,WMS_Server\wms_database.mdb,103,199,RELOJOARIA SAFIRA - FERRARI &,"AV  JOAO PESSOA, 928 SALA 01",GUARUJA DO SUL,1.0,True
200,OTICA HORA CERTA - DIEGO GELLER & ,"AV  GETULIO VARGAS, 102 ",SAO MIGUEL DO ,WMS_BD\wms_database_test.mdb,987,200,OTICA HORA CERTA - DIEGO GELLER &,"AV  GETULIO VARGAS, 102",SAO MIGUEL DO,1.0,True
200,OTICA HORA CERTA - DIEGO GELLER & ,"AV  GETULIO VARGAS, 102 ",SAO MIGUEL DO ,WMS_BD\wms_database.mdb,109,200,OTICA HORA CERTA - DIEGO GELLER &,"AV  GETULIO VARGAS, 102",SAO MIGUEL DO,1.0,True
200,OTICA HORA CERTA - DIEGO GELLER & ,"AV  GETULIO VARGAS, 102 ",SAO MIGUEL DO ,WMS_Server\wms_database.mdb,104,200,OTICA HORA CERTA - DIEGO GELLER &,"AV  GETULIO VARGAS, 102",SAO MIGUEL DO,1.0,True
201,OTICA VISUAL - LUIZ DANIEL CANAN E ,"RUA GENERAL OSORIO, 09 ",SAO JOAO,WMS_BD\wms_database_test.mdb,614,201,OTICA VISUAL - LUIZ DANIEL CANAN E,"RUA GENERAL OSORIO, 09",SAO JOAO,1.0,True
201,OTICA VISUAL - LUIZ DANIEL CANAN E ,"RUA GENERAL OSORIO, 09 ",SAO JOAO,WMS_BD\wms_database.mdb,110,201,OTICA VISUAL - LUIZ DANIEL CANAN E,"RUA GENERAL OSORIO, 09",SAO JOAO,1.0,True
201,OTICA VISUAL - LUIZ DANIEL CANAN E ,"RUA GENERAL OSORIO, 09 ",SAO JOAO,WMS_Server\wms_database.mdb,105,201,OTICA VISUAL - LUIZ DANIEL CANAN E,"RUA GENERAL OSORIO, 09",SAO JOAO,1.0,True
202,RELOJOARIA E OTICA PRIGOL - ,"AV  BRASILIA, 1517 ",MEDIANEIRA,WMS_BD\wms_database_test.mdb,988,136,RELOJOARIA E OTICA PRIGOL -,"AV  BRASILIA, 1517",MEDIANEIRA,1.0,True
202,RELOJOARIA E OTICA PRIGOL - ,"AV  BRASILIA, 1517 ",MEDIANEIRA,WMS_BD\wms_database.mdb,468,136,RELOJOARIA E OTICA PRIGOL -,"AV  BRASILIA, 1517",MEDIANEIRA,1.0,True
202,RELOJOARIA E OTICA PRIGOL - ,"AV  BRASILIA, 1517 ",MEDIANEIRA,WMS_Server\wms_database.mdb,459,136,RELOJOARIA E OTICA PRIGOL -,"AV  BRASILIA, 1517",MEDIANEIRA,1.0,True
203,ATELIE DAS JOIAS - CASIMIRO UNIZYCHI,"RUA JOAO ARISI, 163 ",FLOR DA SERRA DO ,WMS_BD\wms_database_test.mdb,149,203,ATELIE DAS JOIAS - CASIMIRO UNIZYCHI,"RUA JOAO ARISI, 163",FLOR DA SERRA DO,1.0,True
203,ATELIE DAS JOIAS - CASIMIRO UNIZYCHI,"RUA JOAO ARISI, 163 ",FLOR DA SERRA DO ,WMS_BD\wms_database.mdb,111,203,ATELIE DAS JOIAS - CASIMIRO UNIZYCHI,"RUA JOAO ARISI, 163",FLOR DA SERRA DO,1.0,True
203,ATELIE DAS JOIAS - CASIMIRO UNIZYCHI,"RUA JOAO ARISI, 163 ",FLOR DA SERRA DO ,WMS_Server\wms_database.mdb,106,203,ATELIE DAS JOIAS - CASIMIRO UNIZYCHI,"RUA JOAO ARISI, 163",FLOR DA SERRA DO,1.0,True
204,ARMAZEM DOS OCULOS - EDISON ,"RUA ATILIO GRANZOTTO, 891 SALA 02",PARAISO,WMS_BD\wms_database_test.mdb,970,45,ARMAZEM DOS OCULOS - EDISON,"RUA ATILIO GRANZOTTO, 891 SALA 02",PARAISO,1.0,True
204,ARMAZEM DOS OCULOS - EDISON ,"RUA ATILIO GRANZOTTO, 891 SALA 02",PARAISO,WMS_BD\wms_database.mdb,89,167,ARMAZEM DOS OCULOS - EDISON,"RUA ATILIO GRANZOTTO, 891 SALA 02",PARAISO,1.0,True
204,ARMAZEM DOS OCULOS - EDISON ,"RUA ATILIO GRANZOTTO, 891 SALA 02",PARAISO,WMS_Server\wms_database.mdb,84,167,ARMAZEM DOS OCULOS - EDISON,"RUA ATILIO GRANZOTTO, 891 SALA 02",PARAISO,1.0,True
205,JOALHERIA E OTICA GUERO - ODARI ,"AV  GETULIO VARGAS, 739 ",ABELARDO LUZ,WMS_BD\wms_database_test.mdb,989,,JOALHERIA E OTICA GUERO - ODARI,"AV  GETULIO VARGAS, 739",ABELARDO LUZ,1.0,True
205,JOALHERIA E OTICA GUERO - ODARI ,"AV  GETULIO VARGAS, 739 ",ABELARDO LUZ,WMS_BD\wms_database.mdb,112,205,JOALHERIA E OTICA GUERO - ODARI,"AV  GETULIO VARGAS, 739",ABELARDO LUZ,1.0,True
205,JOALHERIA E OTICA GUERO - ODARI ,"AV  GETULIO VARGAS, 739 ",ABELARDO LUZ,WMS_Server\wms_database.mdb,107,205,JOALHERIA E OTICA GUERO - ODARI,"AV  GETULIO VARGAS, 739",ABELARDO LUZ,1.0,True
208,HOFFMANN COLETAS E ENTREGAS,"RUA RICARDO HARDT, 89 ",JOINVILLE,WMS_BD\wms_database_test.mdb,990,,HOFFMANN COLETAS E ENTREGAS,"RUA RICARDO HARDT, 89",JOINVILLE,1.0,True
208,HOFFMANN COLETAS E ENTREGAS,"RUA RICARDO HARDT, 89 ",JOINVILLE,WMS_BD\wms_database.mdb,469,,HOFFMANN COLETAS E ENTREGAS,"RUA RICARDO HARDT, 89",JOINVILLE,1.0,True
208,HOFFMANN COLETAS E ENTREGAS,"RUA RICARDO HARDT, 89 ",JOINVILLE,WMS_Server\wms_database.mdb,460,,HOFFMANN COLETAS E ENTREGAS,"RUA RICARDO HARDT, 89",JOINVILLE,1.0,True
209,RELOJOARIA PERETTI,"RUA SENADOR SALGADO FILHO, 372 ",CACADOR,WMS_BD\wms_database_test.mdb,991,,RELOJOARIA PERETTI,"RUA SENADOR SALGADO FILHO, 372",CACADOR,1.0,True
209,RELOJOARIA PERETTI,"RUA SENADOR SALGADO FILHO, 372 ",CACADOR,WMS_BD\wms_database.mdb,470,,RELOJOARIA PERETTI,"RUA SENADOR SALGADO FILHO, 372",CACADOR,1.0,True
209,RELOJOARIA PERETTI,"RUA SENADOR SALGADO FILHO, 372 ",CACADOR,WMS_Server\wms_database.mdb,461,,RELOJOARIA PERETTI,"RUA SENADOR SALGADO FILHO, 372",CACADOR,1.0,True
210,OTICA VITORIA,"AV  GOIAS, 465 ",CIANORTE,WMS_BD\wms_database_test.mdb,992,27,OTICA VITORIA,"AV  GOIAS, 465",CIANORTE,1.0,True
210,OTICA VITORIA,"AV  GOIAS, 465 ",CIANORTE,WMS_BD\wms_database.mdb,471,27,OTICA VITORIA,"AV  GOIAS, 465",CIANORTE,1.0,True
210,OTICA VITORIA,"AV  GOIAS, 465 ",CIANORTE,WMS_Server\wms_database.mdb,462,27,OTICA VITORIA,"AV  GOIAS, 465",CIANORTE,1.0,True
211,OTICA INOVAR - MARCELO DEMETRIO,"RUA DIOGO PINTO, 1052 SALA 03",LARANJEIRAS DO ,WMS_BD\wms_database_test.mdb,151,211,OTICA INOVAR - MARCELO DEMETRIO,"RUA DIOGO PINTO, 1052 SALA 03",LARANJEIRAS DO,1.0,True
211,OTICA INOVAR - MARCELO DEMETRIO,"RUA DIOGO PINTO, 1052 SALA 03",LARANJEIRAS DO ,WMS_BD\wms_database.mdb,113,211,OTICA INOVAR - MARCELO DEMETRIO,"RUA DIOGO PINTO, 1052 SALA 03",LARANJEIRAS DO,1.0,True
211,OTICA INOVAR - MARCELO DEMETRIO,"RUA DIOGO PINTO, 1052 SALA 03",LARANJEIRAS DO ,WMS_Server\wms_database.mdb,108,211,OTICA INOVAR - MARCELO DEMETRIO,"RUA DIOGO PINTO, 1052 SALA 03",LARANJEIRAS DO,1.0,True
212,OTICAS PRECISAO - ACC COMERCIAL ,"RUA QUINZE DE NOVEMBRO, 7734 TERREO",GUARAPUAVA,WMS_BD\wms_database_test.mdb,993,,OTICAS PRECISAO - ACC COMERCIAL,"RUA QUINZE DE NOVEMBRO, 7734 TERREO",GUARAPUAVA,1.0,True
212,OTICAS PRECISAO - ACC COMERCIAL ,"RUA QUINZE DE NOVEMBRO, 7734 TERREO",GUARAPUAVA,WMS_BD\wms_database.mdb,472,,OTICAS PRECISAO - ACC COMERCIAL,"RUA QUINZE DE NOVEMBRO, 7734 TERREO",GUARAPUAVA,1.0,True
212,OTICAS PRECISAO - ACC COMERCIAL ,"RUA QUINZE DE NOVEMBRO, 7734 TERREO",GUARAPUAVA,WMS_Server\wms_database.mdb,463,,OTICAS PRECISAO - ACC COMERCIAL,"RUA QUINZE DE NOVEMBRO, 7734 TERREO",GUARAPUAVA,1.0,True
213,IMAGEM OTICA - MARCOS MOREIRA ,"RUA PROF VITOR AMARAL, 415 ",IRATI,WMS_BD\wms_database_test.mdb,994,,IMAGEM OTICA - MARCOS MOREIRA,"RUA PROF VITOR AMARAL, 415",IRATI,1.0,True
213,IMAGEM OTICA - MARCOS MOREIRA ,"RUA PROF VITOR AMARAL, 415 ",IRATI,WMS_BD\wms_database.mdb,473,,IMAGEM OTICA - MARCOS MOREIRA,"RUA PROF VITOR AMARAL, 415",IRATI,1.0,True
213,IMAGEM OTICA - MARCOS MOREIRA ,"RUA PROF VITOR AMARAL, 415 ",IRATI,WMS_Server\wms_database.mdb,464,,IMAGEM OTICA - MARCOS MOREIRA,"RUA PROF VITOR AMARAL, 415",IRATI,1.0,True
214,OTICA E RELOJOARIA KARINA - ,"AV  TRIFON HANYSZ, 167 ",PINHAO,WMS_BD\wms_database_test.mdb,995,216,OTICA E RELOJOARIA KARINA -,"AV  TRIFON HANYSZ, 167",PINHAO,1.0,True
214,OTICA E RELOJOARIA KARINA - ,"AV  TRIFON HANYSZ, 167 ",PINHAO,WMS_BD\wms_database.mdb,474,216,OTICA E RELOJOARIA KARINA -,"AV  TRIFON HANYSZ, 167",PINHAO,1.0,True
214,OTICA E RELOJOARIA KARINA - ,"AV  TRIFON HANYSZ, 167 ",PINHAO,WMS_Server\wms_database.mdb,465,216,OTICA E RELOJOARIA KARINA -,"AV  TRIFON HANYSZ, 167",PINHAO,1.0,True
216,OPTICA E RELOJOARIA ALIANCA - ,"RUA DR BERNARDO RIBEIRO VIANA, 435 SALA 01",PALMAS,WMS_BD\wms_database_test.mdb,618,216,OPTICA E RELOJOARIA ALIANCA -,"RUA DR BERNARDO RIBEIRO VIANA, 435 SALA 01",PALMAS,1.0,True
216,OPTICA E RELOJOARIA ALIANCA - ,"RUA DR BERNARDO RIBEIRO VIANA, 435 SALA 01",PALMAS,WMS_BD\wms_database.mdb,114,216,OPTICA E RELOJOARIA ALIANCA -,"RUA DR BERNARDO RIBEIRO VIANA, 435 SALA 01",PALMAS,1.0,True
216,OPTICA E RELOJOARIA ALIANCA - ,"RUA DR BERNARDO RIBEIRO VIANA, 435 SALA 01",PALMAS,WMS_Server\wms_database.mdb,109,216,OPTICA E RELOJOARIA ALIANCA -,"RUA DR BERNARDO RIBEIRO VIANA, 435 SALA 01",PALMAS,1.0,True
217,VISUAL OTICA E MODA - ALEXANDRE ,"AV  PLANALTO, 436 ",BOM JESUS DO ,WMS_BD\wms_database_test.mdb,996,,VISUAL OTICA E MODA - ALEXANDRE,"AV  PLANALTO, 436",BOM JESUS DO,1.0,True
217,VISUAL OTICA E MODA - ALEXANDRE ,"AV  PLANALTO, 436 ",BOM JESUS DO ,WMS_BD\wms_database.mdb,475,,VISUAL OTICA E MODA - ALEXANDRE,"AV  PLANALTO, 436",BOM JESUS DO,1.0,True
217,VISUAL OTICA E MODA - ALEXANDRE ,"AV  PLANALTO, 436 ",BOM JESUS DO ,WMS_Server\wms_database.mdb,466,,VISUAL OTICA E MODA - ALEXANDRE,"AV  PLANALTO, 436",BOM JESUS DO,1.0,True
218,OTICAS POLINI - CENTRO,"RUA EDMUNDO DE BARROS, 213 ",FOZ DO IGUACU,WMS_BD\wms_database_test.mdb,997,,OTICAS POLINI - CENTRO,"RUA EDMUNDO DE BARROS, 213",FOZ DO IGUACU,1.0,True
218,OTICAS POLINI - CENTRO,"RUA EDMUNDO DE BARROS, 213 ",FOZ DO IGUACU,WMS_BD\wms_database.mdb,476,,OTICAS POLINI - CENTRO,"RUA EDMUNDO DE BARROS, 213",FOZ DO IGUACU,1.0,True
218,OTICAS POLINI - CENTRO,"RUA EDMUNDO DE BARROS, 213 ",FOZ DO IGUACU,WMS_Server\wms_database.mdb,467,,OTICAS POLINI - CENTRO,"RUA EDMUNDO DE BARROS, 213",FOZ DO IGUACU,1.0,True
219,ELO DOURADO JOIAS E OTICA,"RUA FLORIANO PEIXOTO, 07 ",DOIS VIZINHOS,WMS_BD\wms_database_test.mdb,619,219,ELO DOURADO JOIAS E OTICA,"RUA FLORIANO PEIXOTO, 07",DOIS VIZINHOS,1.0,True
219,ELO DOURADO JOIAS E OTICA,"RUA FLORIANO PEIXOTO, 07 ",DOIS VIZINHOS,WMS_BD\wms_database.mdb,115,219,ELO DOURADO JOIAS E OTICA,"RUA FLORIANO PEIXOTO, 07",DOIS VIZINHOS,1.0,True
219,ELO DOURADO JOIAS E OTICA,"RUA FLORIANO PEIXOTO, 07 ",DOIS VIZINHOS,WMS_Server\wms_database.mdb,110,219,ELO DOURADO JOIAS E OTICA,"RUA FLORIANO PEIXOTO, 07",DOIS VIZINHOS,1.0,True
220,OTICA SANTO GRAU - G L GRACZCKI ME,"AV  TUPINAMBA, 2085 SALA 02",JUPIA,WMS_BD\wms_database_test.mdb,154,220,OTICA SANTO GRAU - G L GRACZCKI ME,"AV  TUPINAMBA, 2085 SALA 02",JUPIA,1.0,True
220,OTICA SANTO GRAU - G L GRACZCKI ME,"AV  TUPINAMBA, 2085 SALA 02",JUPIA,WMS_BD\wms_database.mdb,116,220,OTICA SANTO GRAU - G L GRACZCKI ME,"AV  TUPINAMBA, 2085 SALA 02",JUPIA,1.0,True
220,OTICA SANTO GRAU - G L GRACZCKI ME,"AV  TUPINAMBA, 2085 SALA 02",JUPIA,WMS_Server\wms_database.mdb,111,220,OTICA SANTO GRAU - G L GRACZCKI ME,"AV  TUPINAMBA, 2085 SALA 02",JUPIA,1.0,True
221,OTICA E RELOJOARIA SCHERER - ,"RUA BARAO DO RIO BRANCO, 1354 ",TOLEDO,WMS_BD\wms_database_test.mdb,998,532,OTICA E RELOJOARIA SCHERER -,"RUA BARAO DO RIO BRANCO, 1354",TOLEDO,1.0,True
221,OTICA E RELOJOARIA SCHERER - ,"RUA BARAO DO RIO BRANCO, 1354 ",TOLEDO,WMS_BD\wms_database.mdb,477,,OTICA E RELOJOARIA SCHERER -,"RUA BARAO DO RIO BRANCO, 1354",TOLEDO,1.0,True
221,OTICA E RELOJOARIA SCHERER - ,"RUA BARAO DO RIO BRANCO, 1354 ",TOLEDO,WMS_Server\wms_database.mdb,468,532,OTICA E RELOJOARIA SCHERER -,"RUA BARAO DO RIO BRANCO, 1354",TOLEDO,1.0,True
222,OTICA BOA VISTA - MEDIANEIRA,"RUA  PARA , 2068 ",MEDIANEIRA,WMS_BD\wms_database_test.mdb,999,,OTICA BOA VISTA - MEDIANEIRA,"RUA  PARA , 2068",MEDIANEIRA,1.0,True
222,OTICA BOA VISTA - MEDIANEIRA,"RUA  PARA , 2068 ",MEDIANEIRA,WMS_BD\wms_database.mdb,478,,OTICA BOA VISTA - MEDIANEIRA,"RUA  PARA , 2068",MEDIANEIRA,1.0,True
222,OTICA BOA VISTA - MEDIANEIRA,"RUA  PARA , 2068 ",MEDIANEIRA,WMS_Server\wms_database.mdb,469,,OTICA BOA VISTA - MEDIANEIRA,"RUA  PARA , 2068",MEDIANEIRA,1.0,True
224,OTICAS PRECISAO - ITAPEJARA D'OESTE,"AV  MANOEL RIBAS, 205 ",ITAPEJARA D'OESTE,WMS_BD\wms_database_test.mdb,621,224,OTICAS PRECISAO - ITAPEJARA D'OESTE,"AV  MANOEL RIBAS, 205",ITAPEJARA D'OESTE,1.0,True
224,OTICAS PRECISAO - ITAPEJARA D'OESTE,"AV  MANOEL RIBAS, 205 ",ITAPEJARA D'OESTE,WMS_BD\wms_database.mdb,117,224,OTICAS PRECISAO - ITAPEJARA D'OESTE,"AV  MANOEL RIBAS, 205",ITAPEJARA D'OESTE,1.0,True
224,OTICAS PRECISAO - ITAPEJARA D'OESTE,"AV  MANOEL RIBAS, 205 ",ITAPEJARA D'OESTE,WMS_Server\wms_database.mdb,112,224,OTICAS PRECISAO - ITAPEJARA D'OESTE,"AV  MANOEL RIBAS, 205",ITAPEJARA D'OESTE,1.0,True
226,NOVA OTICA - JUARES FERREIRA DA ,"AV  SUL BRASIL, 583 SALA 01",MARAVILHA,WMS_BD\wms_database_test.mdb,1000,226,NOVA OTICA - JUARES FERREIRA DA,"AV  SUL BRASIL, 583 SALA 01",MARAVILHA,1.0,True
226,NOVA OTICA - JUARES FERREIRA DA ,"AV  SUL BRASIL, 583 SALA 01",MARAVILHA,WMS_BD\wms_database.mdb,118,226,NOVA OTICA - JUARES FERREIRA DA,"AV  SUL BRASIL, 583 SALA 01",MARAVILHA,1.0,True
226,NOVA OTICA - JUARES FERREIRA DA ,"AV  SUL BRASIL, 583 SALA 01",MARAVILHA,WMS_Server\wms_database.mdb,113,226,NOVA OTICA - JUARES FERREIRA DA,"AV  SUL BRASIL, 583 SALA 01",MARAVILHA,1.0,True
227,JOALHERIA E OTICA DO JAIRO,"RUA PRESIDENTE CASTELO BRANCO, 90 ",GUARACIABA,WMS_BD\wms_database_test.mdb,157,227,JOALHERIA E OTICA DO JAIRO,"RUA PRESIDENTE CASTELO BRANCO, 90",GUARACIABA,1.0,True
227,JOALHERIA E OTICA DO JAIRO,"RUA PRESIDENTE CASTELO BRANCO, 90 ",GUARACIABA,WMS_BD\wms_database.mdb,119,227,JOALHERIA E OTICA DO JAIRO,"RUA PRESIDENTE CASTELO BRANCO, 90",GUARACIABA,1.0,True
227,JOALHERIA E OTICA DO JAIRO,"RUA PRESIDENTE CASTELO BRANCO, 90 ",GUARACIABA,WMS_Server\wms_database.mdb,114,227,JOALHERIA E OTICA DO JAIRO,"RUA PRESIDENTE CASTELO BRANCO, 90",GUARACIABA,1.0,True
229,OTICA E RELOJOARIA ELCIMAR,"RUA MARANHAO, 366 SALA 01",IBEMA,WMS_BD\wms_database_test.mdb,1001,674,OTICA E RELOJOARIA ELCIMAR,"RUA MARANHAO, 366 SALA 01",IBEMA,1.0,True
229,OTICA E RELOJOARIA ELCIMAR,"RUA MARANHAO, 366 SALA 01",IBEMA,WMS_BD\wms_database.mdb,479,33,OTICA E RELOJOARIA ELCIMAR,"RUA MARANHAO, 366 SALA 01",IBEMA,1.0,True
229,OTICA E RELOJOARIA ELCIMAR,"RUA MARANHAO, 366 SALA 01",IBEMA,WMS_Server\wms_database.mdb,470,674,OTICA E RELOJOARIA ELCIMAR,"RUA MARANHAO, 366 SALA 01",IBEMA,1.0,True
230,MARINO JOALHEIRO,"RUA JUAZEIRO, 1410 SALA COMERCIAL",QUEDAS DO IGUACU,WMS_BD\wms_database_test.mdb,158,230,MARINO JOALHEIRO,"RUA JUAZEIRO, 1410 SALA COMERCIAL",QUEDAS DO IGUACU,1.0,True
230,MARINO JOALHEIRO,"RUA JUAZEIRO, 1410 SALA COMERCIAL",QUEDAS DO IGUACU,WMS_BD\wms_database.mdb,120,230,MARINO JOALHEIRO,"RUA JUAZEIRO, 1410 SALA COMERCIAL",QUEDAS DO IGUACU,1.0,True
230,MARINO JOALHEIRO,"RUA JUAZEIRO, 1410 SALA COMERCIAL",QUEDAS DO IGUACU,WMS_Server\wms_database.mdb,115,230,MARINO JOALHEIRO,"RUA JUAZEIRO, 1410 SALA COMERCIAL",QUEDAS DO IGUACU,1.0,True
231,RELOJOARIA SAFIRA - CARDOSO & ,"AV  SANTA CATARINA, 231 ",BARRACAO,WMS_BD\wms_database_test.mdb,1002,,RELOJOARIA SAFIRA - CARDOSO &,"AV  SANTA CATARINA, 231",BARRACAO,1.0,True
231,RELOJOARIA SAFIRA - CARDOSO & ,"AV  SANTA CATARINA, 231 ",BARRACAO,WMS_BD\wms_database.mdb,121,231,RELOJOARIA SAFIRA - CARDOSO &,"AV  SANTA CATARINA, 231",BARRACAO,1.0,True
231,RELOJOARIA SAFIRA - CARDOSO & ,"AV  SANTA CATARINA, 231 ",BARRACAO,WMS_Server\wms_database.mdb,116,231,RELOJOARIA SAFIRA - CARDOSO &,"AV  SANTA CATARINA, 231",BARRACAO,1.0,True
233,RELOJOARIA E OTICA CHIOCA - DARCI ,"AV   XV DE NOVEMBRO, 4374 ",CHOPINZINHO,WMS_BD\wms_database_test.mdb,626,233,RELOJOARIA E OTICA CHIOCA - DARCI,"AV   XV DE NOVEMBRO, 4374",CHOPINZINHO,1.0,True
233,RELOJOARIA E OTICA CHIOCA - DARCI ,"AV   XV DE NOVEMBRO, 4374 ",CHOPINZINHO,WMS_BD\wms_database.mdb,122,233,RELOJOARIA E OTICA CHIOCA - DARCI,"AV   XV DE NOVEMBRO, 4374",CHOPINZINHO,1.0,True
