excel_codigo,excel_nome,excel_endereco,excel_cidade,db,db_id,db_numero,db_nome,db_endereco,db_cidade,score,matched
8,MASTER PRESTADORA ,"RUA RUA DAS ACACIAS, 282 ",VITORINO,WMS_BD\wms_database.mdb,418,,MASTER PRESTADORA,"RUA RUA DAS ACACIAS, 282",VITORINO,1.0,True
8,MASTER PRESTADORA ,"RUA RUA DAS ACACIAS, 282 ",VITORINO,WMS_Server\wms_database.mdb,411,,MASTER PRESTADORA,"RUA RUA DAS ACACIAS, 282",VITORINO,1.0,True
9,TIC TAC - FRANCISCO BELTRAO,"AV   JULIO ASSIS CAVALHEIRO, 635 SALA ",FRANCISCO ,WMS_BD\wms_database_test.mdb,4,9,TIC TAC - FRANCISCO BELTRAO,"AV   JULIO ASSIS CAVALHEIRO, 635 SALA",FRANCISCO,1.0,True
9,TIC TAC - FRANCISCO BELTRAO,"AV   JULIO ASSIS CAVALHEIRO, 635 SALA ",FRANCISCO ,WMS_BD\wms_database.mdb,8,9,TIC TAC - FRANCISCO BELTRAO,"AV   JULIO ASSIS CAVALHEIRO, 635 SALA",FRANCISCO,1.0,True
9,TIC TAC - FRANCISCO BELTRAO,"AV   JULIO ASSIS CAVALHEIRO, 635 SALA ",FRANCISCO ,WMS_Server\wms_database.mdb,3,9,TIC TAC - FRANCISCO BELTRAO,"AV   JULIO ASSIS CAVALHEIRO, 635 SALA",FRANCISCO,1.0,True
10,OTICA SANTA LUZIA - JR GARIPPE LTDA ,"RUA PEDRO RAMIRES DE MELLO, 300 SALA ",PATO BRANCO,WMS_BD\wms_database_test.mdb,513,10,OTICA SANTA LUZIA - JR GARIPPE LTDA,"RUA PEDRO RAMIRES DE MELLO, 300 SALA",PATO BRANCO,1.0,True
10,OTICA SANTA LUZIA - JR GARIPPE LTDA ,"RUA PEDRO RAMIRES DE MELLO, 300 SALA ",PATO BRANCO,WMS_BD\wms_database.mdb,9,10,OTICA SANTA LUZIA - JR GARIPPE LTDA,"RUA PEDRO RAMIRES DE MELLO, 300 SALA",PATO BRANCO,1.0,True
10,OTICA SANTA LUZIA - JR GARIPPE LTDA ,"RUA PEDRO RAMIRES DE MELLO, 300 SALA ",PATO BRANCO,WMS_Server\wms_database.mdb,4,10,OTICA SANTA LUZIA - JR GARIPPE LTDA,"RUA PEDRO RAMIRES DE MELLO, 300 SALA",PATO BRANCO,1.0,True
11,OTICAS PRECISAO 8,"RUA CORONEL BERTASO, 1288 SALA COMERCIAL",SAO LOURENCO DO ,WMS_BD\wms_database_test.mdb,9,11,OTICAS PRECISAO 8,"RUA CORONEL BERTASO, 1288 SALA COMERCIAL",SAO LOURENCO DO,1.0,True
11,OTICAS PRECISAO 8,"RUA CORONEL BERTASO, 1288 SALA COMERCIAL",SAO LOURENCO DO ,WMS_BD\wms_database.mdb,419,12,OTICAS PRECISAO 8,"RUA CORONEL BERTASO, 1288 SALA COMERCIAL",SAO LOURENCO DO,1.0,True
11,OTICAS PRECISAO 8,"RUA CORONEL BERTASO, 1288 SALA COMERCIAL",SAO LOURENCO DO ,WMS_Server\wms_database.mdb,5,11,OTICAS PRECISAO 8,"RUA CORONEL BERTASO, 1288 SALA COMERCIAL",SAO LOURENCO DO,1.0,True
12,OTICAS PRECISAO 5,"AV  TUPI, 2239 SALA COMERCIAL",PATO BRANCO,WMS_BD\wms_database_test.mdb,10,12,OTICAS PRECISAO 5,"AV  TUPI, 2239 SALA COMERCIAL",PATO BRANCO,1.0,True
12,OTICAS PRECISAO 5,"AV  TUPI, 2239 SALA COMERCIAL",PATO BRANCO,WMS_BD\wms_database.mdb,11,12,OTICAS PRECISAO 5,"AV  TUPI, 2239 SALA COMERCIAL",PATO BRANCO,1.0,True
12,OTICAS PRECISAO 5,"AV  TUPI, 2239 SALA COMERCIAL",PATO BRANCO,WMS_Server\wms_database.mdb,6,12,OTICAS PRECISAO 5,"AV  TUPI, 2239 SALA COMERCIAL",PATO BRANCO,1.0,True
13,NEX DISTRIBUIDORA OTICA LTDA,"RUA BEIJA FLOR, 2208 EDIF SANTORINI SALA 04",SAO JOSE,WMS_BD\wms_database_test.mdb,921,537,NEX DISTRIBUIDORA OTICA LTDA,"RUA BEIJA FLOR, 2208 EDIF SANTORINI SALA 04",SAO JOSE,1.0,True
13,NEX DISTRIBUIDORA OTICA LTDA,"RUA BEIJA FLOR, 2208 EDIF SANTORINI SALA 04",SAO JOSE,WMS_BD\wms_database.mdb,420,,NEX DISTRIBUIDORA OTICA LTDA,"RUA BEIJA FLOR, 2208 EDIF SANTORINI SALA 04",SAO JOSE,1.0,True
13,NEX DISTRIBUIDORA OTICA LTDA,"RUA BEIJA FLOR, 2208 EDIF SANTORINI SALA 04",SAO JOSE,WMS_Server\wms_database.mdb,412,537,NEX DISTRIBUIDORA OTICA LTDA,"RUA BEIJA FLOR, 2208 EDIF SANTORINI SALA 04",SAO JOSE,1.0,True
14,CENTRO OTICO BELTRONENSE - FCO ,"RUA VEREADOR ROMEU LAURO WERLANG, 1470 ",FRANCISCO ,WMS_BD\wms_database_test.mdb,516,14,CENTRO OTICO BELTRONENSE - FCO,"RUA VEREADOR ROMEU LAURO WERLANG, 1470",FRANCISCO,1.0,True
