WMS — Relatório de Período
Período,05/06/2026 até 05/06/2026
Gerado em,05/06/2026 09:49:15
Unidade,MASTER

RESUMO
Pedidos cadastrados no período,6
Pedidos retirados no período,3
Pedidos ativos no fechamento,556

=== A. CADASTRADOS NO PERÍODO ===
PEDIDO,CAIXA,POSIÇÃO,DATA PEDIDO,CADASTRADO EM,CADASTRADO POR,SETOR
10114885,02019,P-01-01,29/05/2026 17:57:21,6,AR
10115138,02908,P-01-01,29/05/2026 17:57:45,6,AR
10114922,20127,P-01-01,29/05/2026 17:58:12,6,AR
10113742,2610,P-01-01,29/05/2026 17:58:36,6,AR
10116207,02870,P-02-06,29/05/2026 17:59:04,6,AR
10115911,02115,P-02-06,29/05/2026 17:59:07,6,AR
10116142,01331,P-02-06,29/05/2026 17:59:09,6,AR
10115908,02681,P-02-06,29/05/2026 17:59:12,6,AR
10115922,2537,P-02-06,29/05/2026 17:59:28,6,AR
10111652,20155,P-02-06,29/05/2026 17:59:32,6,AR
10116213,02090,P-02-06,29/05/2026 17:59:45,6,AR
10115682,01915,P-02-06,29/05/2026 17:59:49,6,AR
10115804,01343,P-02-06,29/05/2026 17:59:52,6,AR
10115092,01389,P-02-06,29/05/2026 17:59:54,6,AR
10115910,00390,P-02-06,29/05/2026 17:59:57,6,AR
10115846,00058,P-02-06,29/05/2026 18:00:02,6,AR
10115806,00371,P-02-06,29/05/2026 18:00:04,6,AR
10116529,02131,P-02-06,29/05/2026 18:00:18,6,AR
10116286,00048,P-02-06,29/05/2026 18:00:21,6,AR
10117124,01945,P-02-06,29/05/2026 18:00:26,6,AR
10115512,2560,P-02-05,29/05/2026 18:02:47,6,AR
10116962,00069,P-02-05,29/05/2026 18:02:58,6,AR
10115589,00302,P-02-05,29/05/2026 18:03:03,6,AR
10113602,02214,P-02-05,29/05/2026 18:03:20,6,AR
10116171,02891,P-02-05,29/05/2026 18:03:22,6,AR
10105630,00485,P-02-05,29/05/2026 18:03:25,6,AR
10108549,2587,P-02-05,29/05/2026 18:03:42,6,AR
10114891,00045,P-02-05,29/05/2026 18:04:52,6,AR
10116541,02385,P-02-04,29/05/2026 18:05:21,6,AR
10115056,01400,P-02-04,29/05/2026 18:06:01,6,AR
10116510,00101,P-02-04,29/05/2026 18:06:43,6,AR
10115485,01282,P-02-04,29/05/2026 18:07:16,6,AR
10116084,02326,P-02-04,29/05/2026 18:07:20,6,AR
10116200,01386,P-02-03,29/05/2026 18:22:14,6,AR
10112832,1925,P-02-03,29/05/2026 18:23:05,6,AR
10112552,01261,P-02-03,29/05/2026 18:23:32,6,AR
10115981,01457,P-02-02,29/05/2026 18:24:56,6,AR
10113048,01869,P-02-02,29/05/2026 18:25:18,6,AR
10109295,01292,P-02-02,29/05/2026 18:25:26,6,AR
10114990,00476,P-02-02,29/05/2026 18:26:43,6,AR
10113406,02253,P-02-02,29/05/2026 18:26:45,6,AR
10113378,02103,P-02-02,29/05/2026 18:26:47,6,AR
